nodes,ailabel,dfs
52,13.28,0.343
253,7.19,1.501
334,4.31,2.051
611,14.80,4.248
687,10.86,4.316
813,1.48,6.252
855,10.46,5.241
1369,12.79,10.525
1987,2.97,14.125
2915,4.67,21.089
2938,12.00,19.6
3910,6.11,25.565
4156,9.68,28.833
4425,51.41,32.523
4583,22.43,35.376
4650,33.99,34.865
5094,8.31,35.326
5764,24.98,43.03
6656,18.08,47.508
6965,30.90,89.911
7545,19.20,52.68
10510,20.54,71.924
13424,17.84,97.397
13706,8.53,106.165
16780,18.57,125.432
20880,10.92,136.573
21331,16.74,150.602
23515,82.49,180.086
24889,26.65,177.817
29520,24.45,248.658
32582,22.94,242.926
35633,18.17,335.428
36915,11.53,273.058
55523,21.54,423.104
63911,43.34,461.27
96428,17.41,699.77
102017,46.67,756.935
119175,99.70,875.776
180289,47.16,1389.909
240366,37.43,1771.825
274623,221.83,2559.693
362751,68.32,2621.295
644035,76.73,5113.657
