nodes,oai,dfs
0,0.026,0.013
0,0.152,0.01
0,0.024,0.014
0,0.133,0.033
0,0.042,0.009
0,0.057,0.023
0,0.022,0.016
0,0.036,0.011
0,0.272,0.012
0,0.074,0.015
0,0.027,0.014
0,0.061,0.015
0,0.027,0.015
0,0.086,0.01
0,0.03,0.014
0,0.03,0.013
1,0.022,0.022
1,2.818,0.029
1,0.076,0.021
1,0.188,0.03
1,0.15,0.032
1,0.061,0.026
2,0.203,0.045
2,0.559,0.033
2,0.056,0.02
2,0.031,0.025
3,0.058,0.14
3,0.049,0.031
3,0.083,0.04
4,0.12,0.045
4,0.021,0.041
4,0.733,0.149
4,0.1,0.042
4,0.132,0.044
4,0.136,0.052
4,0.411,0.051
5,0.074,0.052
6,0.137,0.064
6,0.344,0.063
6,0.259,0.095
7,0.051,0.05
7,13.57,0.06
7,0.12,0.064
7,0.052,0.059
8,0.068,0.059
8,0.117,0.084
8,0.245,0.073
8,7.131,0.06
9,0.275,0.08
10,0.118,0.081
10,0.173,0.087
13,0.234,0.101
13,0.587,0.093
13,0.279,0.276
14,0.266,0.113
14,0.308,0.134
16,0.196,0.115
17,0.116,0.133
19,0.083,0.133
19,3.021,0.306
20,5.755,0.135
20,0.334,0.132
22,0.695,0.162
23,0.148,0.166
23,0.127,0.193
23,0.499,0.153
27,0.14,0.187
32,0.472,0.267
36,0.841,0.335
37,1.153,0.225
38,0.042,0.23
39,1.125,0.378
41,4.423,0.427
42,0.271,0.405
43,0.367,0.328
47,0.523,0.372
48,0.098,0.291
49,0.992,0.416
57,0.978,0.474
58,0.466,0.354
59,0.374,0.377
63,0.192,0.367
67,0.116,0.401
70,0.486,0.522
70,0.648,0.49
87,1.095,0.625
89,2.065,0.558
91,1.317,0.667
93,6.177,0.643
95,0.74,0.645
97,4.542,0.693
100,0.171,0.581
100,0.165,0.519
106,0.097,0.841
106,1.217,0.943
107,1.361,0.728
112,5.855,0.802
112,0.813,0.702
114,1.73,0.829
115,0.041,0.935
117,0.091,0.875
121,0.042,0.838
126,1.557,0.852
129,5.945,0.893
132,0.396,3.407
146,1.346,0.933
149,0.034,1.025
151,1.286,0.956
159,4.065,1.006
165,0.93,1.12
167,9.463,1.013
188,1.476,1.176
193,0.038,1.538
196,3.903,1.374
211,2.164,1.551
226,2.034,1.538
236,1.769,1.549
251,2.27,1.785
264,1.174,1.776
265,1.692,1.853
279,0.062,1.91
285,0.038,1.765
303,1.579,2.014
303,2.175,2.092
318,8.561,2.142
322,3.804,2.527
338,0.136,2.244
364,0.036,2.385
364,2.061,2.297
384,1.731,2.467
394,0.04,2.614
407,11.949,2.636
416,4.194,8.314
508,44.706,3.21
528,41.304,3.557
530,37.616,3.612
531,8.466,3.867
536,5.252,3.281
561,27.205,5.11
582,12.474,3.774
598,15.555,3.791
605,14.686,5.156
608,9.571,3.904
621,0.117,3.988
671,8.373,4.653
675,2.834,4.486
692,21.258,5.373
740,1.363,5.014
747,5.896,8.421
792,57.449,5.194
850,3.724,5.421
909,20.635,7.715
1116,0.285,7.107
1123,0.071,7.077
1126,10.3,7.11
1240,0.113,9.098
1246,11.924,8.501
1266,23.766,8.017
1319,1.161,8.389
1387,0.689,8.82
1428,31.544,9.095
1935,13.928,12.462
2002,0.106,12.258
2135,0.231,13.691
2153,24.823,14.064
2283,3.973,14.673
2284,50.583,15.295
2613,23.634,16.53
2858,52.019,24.153
2970,7.129,19.949
2997,16.793,19.391
3061,0.339,18.942
3148,8.761,24.312
3726,67.015,24.102
3990,10.816,32.569
4175,17.188,62.589
4243,56.713,27.795
4284,12.523,26.654
4553,36.79,28.919
4581,15.393,29.113
4672,9.894,29.691
6584,111.896,40.968
6616,27.48,41.685
6975,11.587,43.642
7756,54.064,49.732
8238,15.386,65.3
8599,32.96,57.397
8613,19.722,52.273
9227,65.797,75.068
9556,9.724,57.101
9682,19.116,60.511
10551,1.323,66.868
10974,16.71,78.649
11200,4.61,71.918
11769,63.018,338.144
12196,1.493,120.248
12352,27.798,79.477
12708,54.204,96.632
14552,0.654,90.328
17928,99.444,125.021
18472,162.567,117.24
19619,3.755,119.264
20728,3.811,146.163
23025,1.897,146.274
23807,312.941,157.623
30682,2.704,306.967
37771,10.967,256.65
41891,92.817,290.462
45492,488.221,292.84
48146,20.607,347.072
49388,92.815,330.612
53120,100.388,352.613
56849,139.561,349.852
57112,24.591,388.661
57876,88.391,423.4
59331,30.171,367.139
62387,14.586,424.744
78247,8.885,552.724
122340,464.273,1712.875
139939,52.99,945.226
179094,650.331,1168.74
183231,23.579,1194.864
335965,20.863,2216.633
539686,48.249,4262.95
671796,47.653,4450.523
