nodes,ailabel,dfs
855,10.46,5.24
4425,51.41,32.52
35633,18.17,335.43
3910,6.11,25.57
1987,2.97,14.13
611,14.80,4.25
52,13.28,0.34
253,7.19,1.50
29520,24.45,248.66
23515,82.49,180.09
55523,21.54,423.10
180289,47.16,"1,389.91"
5764,24.98,43.03
813,1.48,6.25
334,4.31,2.05
4156,9.68,28.83
644035,76.73,"5,113.66"
13706,8.53,106.17
10510,20.54,71.92
36915,11.53,273.06
6656,18.08,47.51
7545,19.20,52.68
6965,30.90,89.91
24889,26.65,177.82
2915,4.67,21.09
1369,12.79,10.53
16780,18.57,125.43
21331,16.74,150.60
2938,12.00,19.60
13424,17.84,97.40
274623,221.83,"2,559.69"
32582,22.94,242.93
687,10.86,4.32
119175,99.70,875.78
4650,33.99,34.87
63911,43.34,461.27
240366,37.43,"1,771.83"
5094,8.31,35.33
102017,46.67,756.94
96428,17.41,699.77
362751,68.32,"2,621.30"
20773575,917.58,"188,032.15"
20880,10.92,136.57
2689044,489.62,"25,788.05"
4583,22.43,35.38
